date,ki_role,ki_role_other,ki_resident,ki_disp_status,ki_gender,region,district,settlement,settlement_nearest,settlement_other,site_name,locale,settlement_type,number_families,number_individuals,ki_keeps_record,males_0_1,females_0_1,males_1_4,females_1_4,males_5_17,females_5_17,males_18_59,females_18_59,males_60_over,females_60_over,children,adult_males,adult_females,elderly_males,elderly_females,,pop_idps,pop_refugees,pop_returning_idps,pop_returning_refugees,pop_host,idps_arrived,site_full,site_wall,site_expand,site_pathway,site_occupied,site_occupied_majority,camp_management,cm_agency,committees_onsite,women_representation,conflict_resolution,community_space,womens_space,,landowner,landowner_other,private_landowner,private_landowner_other,tenure_agreement,agreement_level,agreement_written,agreement_timed,agreement_expires,recognised_by_authority,rent_charged,rent_charged_other,past_flood,past_flood_date,eviction_three_months,idp_aoo_primary,idp_primary_left,idp_primary_left_other,idp_aoo_secondary,idp_secondary_left,,idp_secondary_left_other,idp_aoo_tertiary,idp_tertiary_left,unacc_minors,separated_children,child_hh,phys_disabled,mental_disabled,friction_host,friction_site,eviction_notice,security_risks,free_movt_men,night_light,physical_violence,security_provider,uasc_month,child_recruitment,shelter_types,,shelter_number,electricity,shelter_support,shelter_support_types,,shelter_support_types_other,shelter_lock,shelter_sleeping_sep,nfi_market_avail,nfi_market_distance,wood_collection,wood_distance,toilets_male,toilets_female,toilets_nondisag,bathing,toilets_male_func,toilets_female_func,toilets_nondisag_func,bathing_func,handwashing_toilets,toilets_lock,toilets_lit,toilets_dist,potable_water,potable_water_functioning,water_problems,damaged,dry,polluted,other33,water_problems_other,water_sources,water_sources_other,water_source_distance,water_avail_days,waste_disposal,food_distr,food_distr_freq,food_distr_last,food_market_avail,food_market_dist,food_source,health_avail,health_dist,impediments_othergroups,health_issues,,disease_outbreak,outbreak_last,outbreak_type,outbreak_other,school_avail,school_dist,school_type,nutrition_avail,nutrition_dist,nutrition_service,info_sources,,info_needs,info_sufficient,complaints_mechanism,primary_language,secondary_languages,,geopoint_latitude,geopoint_longitude,n_validation/reliable_ki,n_validation/supported_obs,,female_staff,health_birth,impediments_women,types_impediments,
42993,community_leader ,0,no,idp,male,bay,baidoa,NA-3802-W04-003, , ,Gereer fuur,urban,spontaneous_site,113,452,no, , , , , , , , , , ,232,93,105,6,16,113,113,0,0,0,0,0,no,no,yes,no,42371,42374,residents, ,residents womens elder_meeting,1,1,1,0,0,private, ,host, ,formal,community,written,yes,44774,yes,no_rent, ,no, ,no,bay,drought, ,bakool,drought no_livelihoods,0, , , , , , ,5,1,no,no,no, ,yes,no,no,nat_police, ,no,buul,1,113,no,yes,nfis,0, ,no,no,no, ,yes,60,0,0,4,0, , ,4, ,yes,yes,no,no,yes,yes, , , , , , ,tank_tap, ,2,7,daily,none, , ,no, ,borrowing,no, , ,none,0,yes,42372,cholera_awd, ,no, , ,no, , ,community_leader radio,0,food security water shelter market_prices,yes,yes,somali_maay,somali_benaadir,3.1390262162312865 43.66203862242401 432.79998779296875 5.0,3.139026216,43.66203862,yes,yes,yes, ,no, , , 
42999,gatekeeper ,0,yes,idp,male,mudug,galkaacyo_south,NB-3808-F21-001, , ,Mahad alle,urban,spontaneous_site,400,2400,no, , , , , , , , , , ,500,450,1400,20,30,400,400,0,0,0,0,25,yes,no,yes,yes,40545,40545,un_agency,Mercy corps,residents womens elder_meeting wash,1,1,1,1,0,private, ,diaspora, ,formal,community,written,no, ,yes,no_rent, ,no, ,no,bay,conflict_community drought, ,hiraan,floods,0, ,mudug,drought,7,10, ,30,3,no,no,no,razorwire,yes,no,yes,none,yes,no,buul tent cgi,1,400,no,no, , , ,no,no,no, ,yes,120,0,0,2,0, , ,2, ,no,yes,no,no,yes,yes, , , , , , ,kiosk, ,10,7,daily,none, , ,no, ,market,no, , ,cholera_awd malaria other,1,yes,42744,cholera_awd, ,yes,5,quranic,yes,60,otp,friends_family aid_worker radio,1,food health water shelter,no,no,somali_standard,somali_maay,6.74905854 47.44230087 254.0 5.0,6.74905854,47.44230087,yes,yes,yes, ,yes, , , 
42995,camp_manager ,0,no,idp,male,banadir,mogadishu_daynile,other,other,Dayniile,Sasmar,urban,spontaneous_site,100,600,no, , , , , , , , , , ,400,50,50,40,60,100,100,0,0,0,0,30,yes,yes,no,yes,42217,42217,no_management, ,residents womens,1,1,0,0,0,private, ,other,Goofle ,none, , , , ,no,no_rent, ,no, ,no,bay,conflict_surrounding drought, ,lower_shabelle,conflict_surrounding drought,0, , , ,0,25,0,15,0,no,no,no, ,yes,yes,no,nat_police,yes,no,buul,1,100,no,no, , , ,no,no,yes,20,no, ,0,0,7,0, , ,7, ,no,yes,no,yes,no, , , , , , , , , , , ,daily,none, , ,yes,20,household,no, , ,cholera_awd diphtheria other,1,yes,42826,cholera_awd, ,no, , ,no, , ,friends_family,1,food health water shelter other,no,no,somali_maay,somali_standard,2.06685995 45.25807073 52.0 4.0,2.06685995,45.25807073,yes,yes,yes, ,yes, , , 
42996,camp_manager ,0,yes,idp,male,banadir,mogadishu_daynile,other,other,Dayniile,Muxtaad,urban,spontaneous_site,250,750,no, , , , , , , , , , ,400,100,150,40,60,250,250,0,0,0,0,30,yes,no,no,yes,41518,42248,no_management, ,residents womens elder_meeting,1,1,1,0,0,private, ,host, ,formal,community,written,no, ,no,no_rent, ,yes,42887,no,lower_shabelle,conflict_community drought, ,middle_shabelle,conflict_community drought,1, ,bay,conflict_community drought,0,20,0,2,4,no,no,no, ,yes,no,no,clan,no,no,buul,1,400,no,no, , , ,no,no,yes,20,yes,120,0,0,0,0, , , , ,no, ,no,no,yes,yes, , , , , , ,tank_tap, ,5,4,never,none, , ,yes,15,household,no, , ,none,0,no,42614,diphtheria, ,no, , ,no, , ,friends_family radio,1,food health access_id water shelter market_prices,no,no,somali_standard,somali_maay,2.07003646 45.25612778 77.0 5.0,2.07003646,45.25612778,yes,yes,yes, ,yes, , , 
42994,community_leader ,0,yes,idp,male,banadir,mogadishu_kahda,NA-3807-Z08-001, , ,Kaxda 1,peri_urban,spontaneous_site,400,600,no, , , , , , , , , , ,200,100,150,60,90,400,100,250,50,0,0,40,yes,no,no,yes,42614,43040,no_management, ,residents womens elder_meeting,1,1,1,0,0,private, ,host, ,none, , , , ,no,no_rent, ,no, ,no,lower_shabelle,conflict_community drought, ,bay,conflict_community drought,1, ,bakool,conflict_community drought,15,20,60,8,0,no,no,yes,0,yes,no,no,nat_army,no,no,buul timber_plastic,1,400,no,no, , , ,no,no,yes,3,yes,90,0,0,0,0, , , , ,no, ,no,no,yes,yes, , , , , , ,kiosk, ,40,3,weekly,none, , ,yes,3,market,no, , ,malaria,0,no,42979,cholera_awd, ,no, , ,no, , ,friends_family religious_leader radio,1,food health,no,no,somali_maay,somali_standard,2.057635 45.26775333333333 50.1 4.9,2.057635,45.26775333,yes,yes,yes, ,no, , , 
42997,gatekeeper ,0,yes,idp,male,banadir,mogadishu_kahda,other,NA-3807-Z08-001,Kaxda,Maxafuud,urban,spontaneous_site,30,180,no, , , , , , , , , , ,80,30,40,10,20,30,30,0,0,0,0,30,yes,no,no,yes,42887,42948,no_management, ,residents womens,1,1,0,0,0,private, ,host, ,informal,community, ,no, ,no,cash goods_aid, ,no, ,no,lower_shabelle,conflict_community conflict_surrounding drought no_livelihoods, ,bay,conflict_community drought,1, ,middle_shabelle,conflict_community conflict_other drought,0,55,0,5,0,no,no,no, ,yes,no,no,nat_army,no,no,buul timber_plastic,1,38,no,no, , , ,no, ,no, ,yes,13,0,0,5,0, , ,5, ,no,yes,yes,yes,yes,yes, , , , , , ,tank_tap, ,13,4,daily,none, , ,no, ,market,no, , ,cholera_awd malaria,1,no,42979,cholera_awd, ,no, , ,no, , ,friends_family aid_worker radio,1,missing_persons food health access_id shelter,no,no,somali_maay,somali_standard,2.0555250000000003 45.26591499999999 45.6 5.0,2.055525,45.265915,yes,yes,yes, ,no, , , 
43040,gatekeeper,,yes,idp,female,lower_shabelle,afgooye,Carbiska,,,Camp Buundo3,peri_urban,spontaneous_site,75,450,no,,,,,,,,,,,215,90,65,45,35,0,70,0,0,0,5,2,yes,no,yes,no,42401,42583,no_management,,health childrens,0,0,0,0,1,private,,host,,none,,,,,no,no_rent,,no,,no,bay,conflict_community drought, ,,,0, ,,,0,12,7,1,0,no,no,no,,yes,yes,no,nat_police,yes,no,buul timber_plastic,1,125,no,no,,,,no,yes,yes,15,yes,55,0,0,2,0,0,0,2,0,no,yes,no,no,yes,yes,,0,0,0,0,,kiosk,,5,7,monthly,inkind,less_frequent,42945,yes,15,market,yes,20,no,malaria polio diphtheria,0,no,,,,yes,20,primary,yes,10,tsfp,friends_family radio,1,missing_persons food,no,no,somali_standard,somali_maay,2.1112633333333335 45.15478499999999 89.1 5.0,2.111263333,45.154785,yes,yes,yes,yes,yes,yes,no_money too_away,1
42995,gatekeeper ,0,yes,idp,male,banadir,mogadishu_kahda,other,other,Weydow ,Anfac 1,urban,spontaneous_site,60,360,no, , , , , , , , , , ,150,80,100,10,20,60,60,0,0,0,0,10,yes,no,yes,no,42948,42948,Camp leader , ,residents,1,0,0,0,0,private, ,business, ,informal,family, ,no, ,no,no_rent, ,no, ,no,lower_shabelle,conflict_community conflict_surrounding conflict_other, ,bay,drought,0, ,bakool,drought,0,4,0,2,0,no,no,no, ,yes,no,no,nat_police,yes,no,buul,1,60,no,no, , , ,yes,yes,yes,10,yes,10,0,0,0,0, , , , ,no, ,no,no,yes,yes, , , , , , ,kiosk, ,2,4,weekly,none, , ,yes,10,market,no, , ,cholera_awd malaria polio,1,yes,42948,cholera_awd, ,no, , ,no, , ,friends_family,1,food health water shelter,no,yes,somali_maay,somali_standard,2.0661433333333337 45.25508333333334 93.4 4.8,2.066143333,45.25508333,yes,yes,yes, ,yes, , , 
43002,community_leader ,0,yes,idp,male,lower_juba,kismayo,SA-3801-J13-001, , ,Z Four,rural,planned_site,128,768,no, , , , , , , , , , ,300,120,210,65,73,128,58,0,70,0,0,0,no,no,yes,yes,42741,42742,local_authority, ,residents,1,0,0,0,0,federal_govt, , , ,informal,community, ,no, ,yes,no_rent, ,no, ,no,lower_juba,drought, , , , , , , , , , ,2,1,no,no,no, ,yes,no,no,clan, ,no,wattle_daub mud_adobe,0,128,yes,no, , , ,no,no,no, ,yes,60,0,0,40,0, , ,40, ,yes,no,no,no,no, , , , , , , , , ,60,7,weekly,none, , ,no, ,market,yes,30,no,none,0,no,42744,malaria, ,no, , ,no, , ,friends_family radio,1,food health contact_aid water,no,yes,somali_standard,somali_maay,-0.33849369535978974 42.52789575662755 -8.771477169524383 4.0,-0.338493695,42.52789576,yes,yes,yes,yes,no,no, , 
43032,gatekeeper,,yes,idp,male,nugaal,garowe,Garowe,,,Hiiraan,urban,spontaneous_site,138,828,no,,,,,,,,,,,350,150,200,58,70,0,138,0,0,0,0,12,yes,no,yes,no,40603,41671,residents,,womens elder_meeting wash,0,1,1,1,0,private,,host,,none,,,,,no,cash,,yes,41760,no,hiraan,conflict_other drought, ,lower_shabelle,conflict_other drought,0, ,lower_juba,conflict_other drought,5,10,2,3,4,no,no,no,,yes,no,no,clan,no,no,buul tent timber_plastic,1,115,no,no,,,,no,no,no,,no,,0,0,8,0,0,0,6,0,no,no,no,no,yes,yes,,0,0,0,0,,tank_tap,,5,6,more_month,none,,,no,,household,no,,,malaria other,0,yes,42767,cholera_awd,,no,,,no,,,tv community_leader radio,0,food health contact_aid,no,no,somali_standard,somali_maay,8.41536768328007 48.50608634895725 421.0173884247253 4.0,8.415367683,48.50608635,yes,yes,yes,,yes,,,
42995,community_leader ,0,yes,idp,male,banadir,mogadishu_daynile,other,other,Jaamacada Shabeele,Nasrullahi,urban,spontaneous_site,100,500,no, , , , , , , , , , ,250,50,150,20,30,100,60,0,40,0,0,40,yes,no,no,no,42156,42795,community_leader, ,womens elder_meeting,0,1,1,0,0,private, ,host, ,formal,community,written,yes,44348,yes,no_rent, ,no, ,no,bay,conflict_community conflict_surrounding drought, ,lower_shabelle,conflict_community conflict_surrounding drought,1, ,middle_shabelle,conflict_community conflict_surrounding,0,15,0,5,4,no,no,no, ,yes,no,yes,nat_army,no,no,buul,1,150,no,no, , , ,yes,no,yes,10,yes,15,0,0,15,0, , ,13, ,yes,no,no,no,no, , , , , , , , , ,10,3,weekly,none, , ,yes,25,household,yes,15,no,cholera_awd diphtheria,1,yes,42917,cholera_awd, ,yes,1,ecd quranic,no, , ,religious_leader community_leader radio,0,food water shelter,no,no,somali_standard,none,2.0678537859578268 45.25868922216499 64.62721524612155 4.0,2.067853786,45.25868922,yes,yes,yes,yes,no,no, , 
42997,gatekeeper ,0,yes,idp,male,banadir,mogadishu_kahda,NA-3807-Z08-001, , ,Shekeye,urban,planned_site,150,300,no, , , , , , , , , , ,100,50,50,50,50,150,150,0,0,0,0,20,no,no,no,no,42401,42767,community_leader, ,residents,1,0,0,0,0,private, ,business, ,none, , , , ,no,no_rent, ,no, ,no,lower_juba,conflict_community drought, ,lower_shabelle,conflict_community drought,1, ,middle_juba,conflict_community drought,0,0,0,5,0,no,no,no, ,yes,yes,yes,clan, ,no,buul tent timber_plastic,1,155,no,no, , , ,no,no,no, ,no, ,0,0,0,0, , , , ,no, ,no,no,no, , , , , , , , , ,5,7,weekly,none, , ,no, ,market,no, , ,cholera_awd,1,yes,42856,cholera_awd, ,no, , ,no, , ,friends_family,1,food security water,yes,yes,somali_benaadir,somali_standard,2.0563466666666668 45.26354333333334 188.5 4.9,2.056346667,45.26354333,yes,yes,yes, ,no, , , 
43002,community_leader ,0,yes,idp,male,lower_juba,kismayo,SA-3801-J13-001, , ,Tawakal 3,urban,spontaneous_site,154,360,no, , , , , , , , , , ,120,50,80,40,70,154,154,0,0,0,0,0,no,no,no,yes,41644,41645,residents, ,elder_meeting wash health,0,0,1,1,1,local_authority, , , ,none, , , , ,no,no_rent, ,no, ,no,lower_juba,conflict_community drought, ,middle_juba,conflict_surrounding no_livelihoods no_services,0, ,lower_shabelle,drought no_livelihoods, ,5, ,4,2,no,no,no, ,yes,no,no,informal_sec,no,no,buul tent,1,154,yes,no, , , ,yes,no,yes,5,yes,60,0,0,32,0, , ,32, ,no,yes,no,no,yes,yes, , , , , , ,protected_well_nopump, ,20,7,daily,cash,monthly,42993,yes,20,market,yes,20,no,cholera_awd,1,yes,42741,cholera_awd, ,yes,20,primary quranic,yes,20,sc otp tsfp bsfp,friends_family religious_leader radio,1,food shelter,no,no,somali_standard,somali_benaadir,-0.34192346101597065 42.56104369176596 -30.73666351198101 4.0,-0.341923461,42.56104369,yes,yes,yes,yes,yes,no, , 
42998,camp_manager ,0,yes,idp,male,banadir,mogadishu_daynile,other,other,Isbitaalka Al-biri,Hareri,urban,spontaneous_site,120,300,no, , , , , , , , , , ,125,62.5,62.5,12.5,37.5,120,120,0,0,0,0,40,yes,yes,yes,yes,42856,42887,community_leader, ,residents womens elder_meeting,1,1,1,0,0,private, ,business, ,none, , , , ,no,no_rent, ,no, ,no,middle_shabelle,conflict_surrounding threats floods drought no_livelihoods, ,lower_shabelle,threats floods drought no_livelihoods,0, ,hiraan,threats floods drought no_livelihoods,8,5,0,0,10,no,no,yes, ,yes,no,yes,informal_sec,no,no,buul,1,120,no,no, , , ,yes,yes,no, ,yes,25,0,0,2,0, , ,2, ,no,no,no,yes,no, , , , , , , , , ,60,2,monthly,none, , ,yes,30,borrowing,no, , ,cholera_awd malaria,1,yes,42917,cholera_awd, ,no, , ,no, , ,religious_leader community_leader,0,food health contact_aid shelter market_prices,no,no,somali_standard,somali_benaadir somali_sign,2.0708059789197315 45.22814024752356 105.0941372919944 4.0,2.070805979,45.22814025,yes,yes,yes, ,no, , , 
